MRSA-LOS_Abbrev,N,mean_LOS,std_LOS,mean_lnLOS,std_lnLOS,blank1,Dsch_Path_Abbrev,Dsch_ReAd_N,Dsch_Com_N,Dsch_NH_Com_N,Dsch_NH_ReAd_N,Dsch_ReAd_Pct,Dsch_Com_Pct,Dsch_NH_Com_Pct,Dsch_NH_ReAd_Pct,blank2,TimetoRe_Dsch_Read_byH_Abbrev,N,mean_T_Re,std_T_Re,mean_lnT_Re,std_lnT_Re,blank3,NH_disch_Nxt_Src_byH_Abbrev,Readm_fr_NH_N,REadm_fr_Oth_N,Readm_fr_NH_Pct,REadm_fr_Oth_Pct,blank4,TimetoRe_Dsch_NH_byH_Abbrev,N,mean_T_Re,std_T_Re,mean_lnT_Re,std_lnT_Re,blank5,LTC_tag,blank6,Comm_vs_NH-NH,blank7,MRSA+_LOS_Abbrev,N,mean_LOS,std_LOS,mean_lnLOS,std_lnLOS
AGEN,3240,6.500617284,13.97863671,1.549495246,0.682080334,,AGEN,1413,1271,255,327,43.26627963,38.91821756,7.808139636,10.00736317,,AGEN,1347,80.89012621,92.60516185,3.449036378,1.681075013,,AGEN,64,285,18.33810888,81.66189112,,AGEN,285,89.99577465,95.94741883,3.712623307,1.482700355,,0,,0,,AGEN,46,6.500617284,13.97863671,1.549495246,0.682080334
AMMC,14387,4.768471537,4.052448603,1.343828365,0.618468394,,AMMC,4456,7038,745,936,33.82163188,53.41935484,5.654648956,7.104364326,,AMMC,4404,97.04859219,100.9985525,3.760989711,1.538035279,,AMMC,107,829,11.43162393,88.56837607,,AMMC,829,92.4318456,93.98105601,3.778017733,1.482700355,,0,,0,,AMMC,228,10.11842105,7.297275646,2.130978561,0.580318727
CHAP,2313,6.548638132,9.676040984,1.563612088,0.731017236,,CHAP,790,1125,113,122,36.74418605,52.3255814,5.255813953,5.674418605,,CHAP,728,85.64835165,96.48590334,3.449855041,1.739338952,,CHAP,31,91,25.40983607,74.59016393,,CHAP,91,81.49450549,90.15978084,3.204817592,2.03151715,,0,,0,,CHAP,28,12.75,20.02891428,2.105726261,0.814856213
COAS,4737,5.972345366,7.697887363,1.515782292,0.646750911,,COAS,733,1152,219,208,31.70415225,49.82698962,9.472318339,8.996539792,,COAS,680,75.53676471,92.8442968,3.08922399,1.962213554,,COAS,81,127,38.94230769,61.05769231,,COAS,127,98.66929134,95.96560686,3.753941065,1.692990034,,0,,0,,COAS,71,15.83098592,25.22696172,2.292009194,0.855569145
COLL,3515,9.86685633,18.01998581,1.772008123,0.850107235,,COLL,1462,1781,103,48,43.0760165,52.4749558,3.034767236,1.41426046,,COLL,1445,86.45259516,95.80729303,3.484607942,1.731198427,,COLL,0,48,0,100,,COLL,48,115.25,102.3064857,4.072611872,1.431931405,,0,,0,,COLL,16,13.75,6.587867637,2.510821691,0.491827779
FVRH,14433,5.348437608,4.815920706,1.462004191,0.604259038,,FVRH,3830,7722,698,1074,28.74512159,57.9555689,5.238667067,8.06064245,,FVRH,3739,96.5397165,102.6103353,3.737303676,1.538892292,,FVRH,261,813,24.30167598,75.69832402,,FVRH,813,75.55596556,93.87850276,3.005110244,2.040903893,,0,,0,,FVRH,273,12.34065934,9.79895678,2.289061836,0.647867692
GGMC,6884,4.331929111,3.770291933,1.293687548,0.533875507,,GGMC,1155,2411,349,330,27.20848057,56.79623086,8.221436985,7.77385159,,GGMC,1025,103.1365854,102.9043894,3.867642474,1.50444877,,GGMC,112,218,33.93939394,66.06060606,,GGMC,218,86.47706422,94.09423616,3.429848599,1.850383654,,0,,0,,GGMC,149,11.38255034,9.043884985,2.22216507,0.625547915
HBHO,4533,4.752702405,5.796637858,1.287198198,0.660612831,,HBHO,2028,2037,108,241,45.94472134,46.14861803,2.446760308,5.459900317,,HBHO,1810,86.3558011,99.94590816,3.407275683,1.770691453,,HBHO,44,197,18.25726141,81.74273859,,HBHO,197,91.5786802,103.6298365,3.511316057,1.782994437,,0,,0,,HBHO,83,7.590361446,4.955992049,1.876242242,0.521823657
HOAG,26783,4.88253743,4.938470122,1.36531832,0.595657433,,HOAG,7270,16541,1172,1444,27.50974382,62.59128921,4.434858289,5.464108677,,HOAG,7178,99.16355531,101.7536866,3.779760985,1.557260777,,HOAG,41,1403,2.83933518,97.16066482,,HOAG,1403,88.8168211,97.83733451,3.671691225,1.470666703,,0,,0,,HOAG,368,9.779891304,8.839959312,2.014797906,0.709059929
HSOU,927,12.19525351,5.746034327,2.389180794,0.494647535,,HSOU,258,514,34,31,30.82437276,61.40979689,4.062126643,3.703703704,,HSOU,198,119.2626263,105.0115378,4.194060507,1.319355573,,HSOU,10,21,32.25806452,67.74193548,,HSOU,21,109.047619,90.89580639,4.2583532,1.037397178,,0,,0,,HSOU,6,22.16666667,15.11842143,2.943876448,0.578135625
IRVR,9712,3.88509061,3.112614657,1.192332204,0.531359624,,IRVR,2211,6184,210,280,24.88463703,69.6004502,2.363534046,3.151378728,,IRVR,2092,104.7887189,103.7068594,3.798299805,1.6377001,,IRVR,31,249,11.07142857,88.92857143,,IRVR,249,93.79116466,98.91449429,3.75906459,1.493792813,,0,,0,,IRVR,75,9.12,5.511560332,2.053552536,0.560861788
KAIA,12783,4.481968239,4.92090144,1.252969838,0.630156483,,KAIA,2999,8285,515,384,24.61626857,68.00459657,4.227201839,3.151933021,,KAIA,2885,99.22357019,101.9563299,3.8069915,1.498587227,,KAIA,82,302,21.35416667,78.64583333,,KAIA,302,94.76490066,93.75886772,3.927483401,1.281753813,,0,,0,,KAIA,158,10.0443038,32.97486882,1.798366848,0.742955347
KINB,355,28.94366197,18.8178057,3.18244689,0.63519901,,KINB,100,134,64,117,24.09638554,32.28915663,15.42168675,28.19277108,,KINB,82,72.40243902,88.43604926,3.276584864,1.6527318,,KINB,41,76,35.04273504,64.95726496,,KINB,76,80.85526316,91.76429283,3.706854852,1.315787203,,0,,0,,KINB,70,33.65714286,29.40318711,3.252650595,0.732595524
KINW,981,33.45056065,43.67676789,3.15671694,0.80681483,,KINW,313,397,116,173,31.33133133,39.73973974,11.61161161,17.31731732,,KINW,267,91.49438202,98.24387986,3.723583316,1.454859846,,KINW,58,115,33.52601156,66.47398844,,KINW,115,75.83478261,73.40406443,3.681866286,1.379681054,,0,,0,,KINW,86,29.94186047,24.82425505,3.162460361,0.700316475
LAMC,9218,5.34660447,5.4932825,1.421244614,0.642609712,,LAMC,2065,5378,787,626,23.31752484,60.72719061,8.886630533,7.06865402,,LAMC,2026,97.45755183,101.5430113,3.748881926,1.556299736,,LAMC,153,473,24.44089457,75.55910543,,LAMC,473,111.4799154,107.1591765,3.796544977,1.790467557,,0,,0,,LAMC,173,10.57225434,8.87718097,2.086203969,0.730088672
LPIH,3911,4.758373817,6.428729142,1.294176329,0.636114607,,LPIH,1467,1861,120,159,40.67091766,51.59412254,3.32686443,4.40809537,,LPIH,1392,93.63577586,102.2906037,3.637358286,1.623543591,,LPIH,25,134,15.72327044,84.27672956,,LPIH,134,74.26119403,87.76977138,3.546220874,1.366047472,,0,,0,,LPIH,34,9.470588235,11.27678037,2.000603672,0.582012214
MISS,17083,4.919159398,5.516032126,1.338122865,0.642828152,,MISS,5166,9502,428,609,32.89398281,60.50302451,2.725246737,3.877745941,,MISS,4996,94.47978383,101.4487656,3.552681317,1.786008219,,MISS,45,564,7.389162562,92.61083744,,MISS,564,84.4929078,90.83026322,3.712623307,1.390702328,,0,,0,,MISS,174,10.68390805,11.80810316,2.044772944,0.758932899
OCMM,12770,4.394283477,3.853774343,1.297184766,0.556797198,,OCMM,3701,7160,677,801,29.99432693,58.02739282,5.486668288,6.491611962,,OCMM,3602,101.2459745,101.7365358,3.860605274,1.465201138,,OCMM,91,710,11.360799,88.639201,,OCMM,710,89.99577465,97.09404647,3.754452067,1.391486497,,0,,0,,OCMM,148,9.216216216,8.346689058,1.9690263,0.669389236
PLAC,3879,4.437999484,3.862677595,1.305461317,0.571861703,,PLAC,1195,1848,346,429,31.29910948,48.40230487,9.062336302,11.23624935,,PLAC,1078,105.7634508,105.6830315,3.831830894,1.597808566,,PLAC,36,393,8.391608392,91.60839161,,PLAC,393,86.36641221,96.97737003,3.255979918,1.999466346,,0,,0,,PLAC,54,8.648148148,6.507346813,1.941581822,0.646076599
SCLE,2681,4.348004476,3.400521899,1.276951865,0.586618335,,SCLE,875,1313,144,242,33.99378399,51.01010101,5.594405594,9.401709402,,SCLE,838,101.4832936,97.456514,3.904699501,1.451275441,,SCLE,6,236,2.479338843,97.52066116,,SCLE,236,96.88983051,101.765503,3.741223924,1.516668086,,0,,0,,SCLE,20,6.3,4.577979329,1.690100125,0.50475308
SCOA,4574,5.63729777,8.546617474,1.444124058,0.677545387,,SCOA,1401,2699,137,125,32.11829436,61.87528657,3.140761119,2.865657955,,SCOA,1321,91.66086298,100.3731525,3.449907475,1.863402186,,SCOA,4,121,3.2,96.8,,SCOA,121,88.5785124,105.9623166,3.608996558,1.492356237,,0,,0,,SCOA,42,7.738095238,7.342025785,1.78535618,0.663778357
SJOS,21130,4.94813062,4.951194196,1.389907396,0.581088647,,SJOS,5857,12140,792,740,29.991295,62.16396129,4.055507194,3.78923652,,SJOS,5781,95.34855561,102.2752821,3.596315458,1.737265857,,SJOS,233,507,31.48648649,68.51351351,,SJOS,507,98.4418146,95.94741883,3.920315902,1.377611466,,0,,0,,SJOS,194,9.24742268,7.437519961,1.983322132,0.678161486
SJUD,15922,5.669262655,5.68324279,1.482644888,0.652658783,,SJUD,5437,9410,433,317,34.85926781,60.33211515,2.776174905,2.032442136,,SJUD,5251,85.42639497,100.0958191,3.20625246,2.001189131,,SJUD,98,219,30.9148265,69.0851735,,SJUD,219,104,95.3973823,4.092963062,1.211863113,,0,,0,,SJUD,252,12.27777778,13.16377916,2.223009981,0.698738699
SMMC,15151,4.695201637,4.359280841,1.352126256,0.569817599,,SMMC,4068,8616,1030,1137,27.39209481,58.0162952,6.935559895,7.656050098,,SMMC,3972,102.7041793,102.651461,3.802475424,1.601099215,,SMMC,75,1062,6.596306069,93.40369393,,SMMC,1062,91.12146893,94.36935541,3.811699498,1.36004142,,0,,0,,SMMC,176,9.170454545,8.134191105,1.983202692,0.64019792
