,To_AGEN,To_AMMC,To_CHAP,To_COAS,To_COLL,To_FVRH,To_GGMC,To_HBHO,To_HOAG,To_HSOU,To_IRVR,To_KAIA,To_KINB,To_KINW,To_LAMC,To_LPIH,To_MISS,To_OCMM,To_PLAC,To_SCLE,To_SCOA,To_SJOS,To_SJUD,To_SMMC,To_TUSH,To_UCIM,To_WAMC,To_WMCA,To_WMCS,To_ACNC,To_AGBP,To_ALAM,To_ALTA,To_ANHC,To_ATCC,To_BEAC,To_BGSJ,To_BGYL,To_BPNC,To_BVCC,To_CAPO,To_CARE,To_CMCH,To_CMLH,To_CMSA,To_COCT,To_COVI,To_CSNC,To_CVLH,To_CVPL,To_CVSB,To_EDNA,To_ELIZ,To_EVER,To_EXTW,To_FLAG,To_FOCC,To_FPCC,To_FREE,To_GGCH,To_GORD,To_GPCC,To_GREE,To_HELP,To_HVAL,To_HVCC,To_KINO,To_KNOT,To_LAKE,To_LEIS,To_LHAB,To_LPAL,To_MANO,To_MESA,To_NEWO,To_NNRC,To_NSUB,To_ORRH,To_PACI,To_PALM,To_PANA,To_PKVW,To_PREG,To_PSUP,To_PVIS,To_QUAK,To_RGNT,To_ROYL,To_SCRT,To_SEAC,To_SNMR,To_STAN,To_TERR,To_TOWN,To_VICT,To_VIVA,To_WAEC,To_WINA,To_WINF,To_WLNT
AGEN,1,12,1,0,0,3,4,1,0,0,0,0,0,1,0,0,2,1,0,0,0,0,2,1,1,6,19,5,6,1,82,3,3,9,16,0,0,0,74,17,1,1,0,0,0,6,0,11,0,8,0,8,1,0,1,0,1,0,0,1,1,2,0,2,4,42,0,67,0,2,18,2,0,0,0,0.6515912898,1,1,0,0,144,3,0,5,0,1,0,1,0,0,0,0,0,0,0,0,2,58,1,2
AMMC,2,0,0,1,0,6,5,0,2,0,0,7,0,0,0,1,1,3,0,0,0,6,2,0,2,5,4,0,5,9,0,1,3,92,250,0,9,11,120,21,0,53,0,0,0,136,0,24,0,7,9,80,71,9,0,1,5,9,0,3,105,9,7,0,0,29,9,6,9,42,0,15,8,0,9,0,1,7,9,0,4,9,6,0,7,9,0,10,0,4,2,1,0,9,0,0,41,9,85,111
CHAP,0,4,0,0,0,4,2,1,3,0,5,4,0,0,0,0,0,3,2,1,0,16,3,0,0,2,0,3,9,0,0,0,1,1,0,0,0,0,0,21,0,53,0,0,0,0,0,2,0,1,1,0,0,0,0,0,13,16,0,0,1,0,3,0,3,0,0,0,0,10,0,0,0,0,1,0,0,3,2,0,2,0,0,8,0,0,1,2,0,1,0,0,0,0,0,0,0,0,5,2
COAS,2,0,0,2,0,14,2,0,4,0,1,2,0,0,0,0,0,6,0,0,0,1,0,1,1,1,0,1,15,4,0,0,33,0,3,6,0,0,3,6,0,12,0,0,0,0,0,1,0,69,0,25,7,0,0,0,2,18,0,10,0,4,0,0,2,0,4,0,0,10,0,3,4,0,7,0,11,1,44,11,2,1,0,9,0,0,0,90,0,0,1,4,0,0,22,0,0,6,4,1
COLL,1,0,0,1,6,1,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0
FVRH,2,5,0,2,0,1,8,0,11,0,2,4,0,0,0,0,1,20,0,1,0,6,0,3,5,18,0,1,1,2,0,2,71,2,5,45,0,0,9,1,0,18,0,0,0,4,0,45,1,24,0,9,0,0,0,2,19,13,0,74,1,49,0,57,143,5,1,3,0,1,0,6,520,1,4,0,19,31,11,0,20,4,1,2,0,4,0,13,1,117,0,20,0,0,1,0,1,1,2,6
GGMC,1,17,0,1,0,39,1,0,4,0,7,3,0,0,1,0,0,8,3,0,0,6,0,1,1,7,3,8,19,11,0,1,105,3,2,1,0,0,13,1,0,21,0,0,0,30,0,86,0,9,0,0,0,0,0,0,1,36,0,27,5,110,0,6,3,4,0,3,0,2,0,1,14,0,0,0,3,134,77,0,1,7,0,0,0,14,0,7,0,1,29,1,0,6,6,0,0,7,9,6
HBHO,3,6,0,0,1,60,6,1,23,0,12,8,1,57,0,1,0,18,1,0,0,4,0,1,2,4,5,2,2,1,0,1,8,4,2,36,0,0,8,0,1,5,0,0,0,0,0,2,0,3,2,3,0,0,3,1,0,4,0,1,0,1,0,10,121,2,0,3,0,1,0,15,38,0,3,0,10,3,1,3,3,0,0,1,0,3,0,1,3,90,0,13,0,0,0,0,0,1,1,0
HOAG,2,2,2,0,3,3,7,0,2,0,11,9,0,0,1,0,0,18,0,0,1,4,4,9,6,6,0,0,2,2,0,3,2,2,1,50,4,2,1,1,1,9,0,0,0,2,7,1,3,4,5,52,0,0,0,1063,4,14,0,0,2,0,0,1,53,0,0,1,52,2,0,8,158,348,1,337.5242881072,57,1,0,0,0,0,0,44,0,2,30,35,0,55,0,0,0,0,51,0,0,4,3,2
HSOU,0,0,2,0,0,9,0,0,8,2,2,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,18,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,10,0,0,0,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
