,To_AGEN,To_AMMC,To_CHAP,To_COAS,To_COLL,To_FVRH,To_GGMC,To_HBHO,To_HOAG,To_HSOU,To_IRVR,To_KAIA,To_KINB,To_KINW,To_LAMC,To_LPIH,To_MISS,To_OCMM,To_PLAC,To_SCLE,To_SCOA,To_SJOS,To_SJUD,To_SMMC,To_TUSH,To_UCIM,To_WAMC,To_WMCA,To_WMCS,To_ACNC,To_AGBP,To_ALAM,To_ALTA,To_ANHC,To_ATCC,To_BEAC,To_BGSJ,To_BGYL,To_BPNC,To_BVCC,To_CAPO,To_CARE,To_CMCH,To_CMLH,To_CMSA,To_COCT,To_COVI,To_CSNC,To_CVLH,To_CVPL,To_CVSB,To_EDNA,To_ELIZ,To_EVER,To_EXTW,To_FLAG,To_FOCC,To_FPCC,To_FREE,To_GGCH,To_GORD,To_GPCC,To_GREE,To_HELP,To_HVAL,To_HVCC,To_KINO,To_KNOT,To_LAKE,To_LEIS,To_LHAB,To_LPAL,To_MANO,To_MESA,To_NEWO,To_NNRC,To_NSUB,To_ORRH,To_PACI,To_PALM,To_PANA,To_PKVW,To_PREG,To_PSUP,To_PVIS,To_QUAK,To_RGNT,To_ROYL,To_SCRT,To_SEAC,To_SNMR,To_STAN,To_TERR,To_TOWN,To_VICT,To_VIVA,To_WAEC,To_WINA,To_WINF,To_WLNT
AGEN,756,90,6,6,11,27,27,16,9,1,3,1,33,26,15,23,7,9,5,1,1,13,23,2,23,35,161,52,31,1,82,3,3,9,16,0,0,0,74,17,1,1,0,0,0,6,0,11,0,8,0,8,1,0,1,0,1,0,0,1,1,2,0,2,4,42,0,67,0,2,18,2,0,0,0,0.6515912898,1,1,0,0,144,3,0,5,0,1,0,1,0,0,0,0,0,0,0,0,2,58,1,2
AMMC,73,2919,22,12,21,50,57,19,27,1,41,200,52,16,24,54,12,64,75,2,1,73,138,10,10,123,209,92,59,9,0,1,3,92,250,0,9,11,120,21,0,53,0,0,0,136,0,24,0,7,9,80,71,9,0,1,5,9,0,3,105,9,7,0,0,29,9,6,9,42,0,15,8,0,9,0,1,7,9,0,4,9,6,0,7,9,0,10,0,4,2,1,0,9,0,0,41,9,85,111
CHAP,2,26,410,5,13,21,6,10,20,2,13,9,0,0,4,3,6,8,12,5,8,94,25,6,1,25,7,10,39,0,0,0,1,1,0,0,0,0,0,21,0,53,0,0,0,0,0,2,0,1,1,0,0,0,0,0,13,16,0,0,1,0,3,0,3,0,0,0,0,10,0,0,0,0,1,0,0,3,2,0,2,0,0,8,0,0,1,2,0,1,0,0,0,0,0,0,0,0,5,2
COAS,5,10,4,436,4,59,16,3,24,3,5,4,0,1,0,2,10,17,1,1,0,21,5,3,6,20,11,8,54,4,0,0,33,0,3,6,0,0,3,6,0,12,0,0,0,0,0,1,0,69,0,25,7,0,0,0,2,18,0,10,0,4,0,0,2,0,4,0,0,10,0,3,4,0,7,0,11,1,44,11,2,1,0,9,0,0,0,90,0,0,1,4,0,0,22,0,0,6,4,1
COLL,7,8,7,3,954,10,6,38,69,0,8,9,0,0,8,25,20,8,5,0,20,39,5,7,12,50,22,110,12,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0
FVRH,15,52,21,59,10,2714,87,108,111,77,14,8,1,4,13,5,13,178,4,2,3,51,8,21,16,110,72,17,36,2,0,2,71,2,5,45,0,0,9,1,0,18,0,0,0,4,0,45,1,24,0,9,0,0,0,2,19,13,0,74,1,49,0,57,143,5,1,3,0,1,0,6,520,1,4,0,19,31,11,0,20,4,1,2,0,4,0,13,1,117,0,20,0,0,1,0,1,1,2,6
GGMC,15,55,8,13,7,128,549,22,17,9,12,4,0,0,5,4,3,32,13,0,1,45,14,5,3,68,45,27,51,11,0,1,105,3,2,1,0,0,13,1,0,21,0,0,0,30,0,86,0,9,0,0,0,0,0,0,1,36,0,27,5,110,0,6,3,4,0,3,0,2,0,1,14,0,0,0,3,134,77,0,1,7,0,0,0,14,0,7,0,1,29,1,0,6,6,0,0,7,9,6
HBHO,16,24,9,6,44,216,23,970,123,4,20,18,2,75,15,36,4,111,5,2,15,40,8,7,7,87,42,84,15,1,0,1,8,4,2,36,0,0,8,0,1,5,0,0,0,0,0,2,0,3,2,3,0,0,3,1,0,4,0,1,0,1,0,10,121,2,0,3,0,1,0,15,38,0,3,0,10,3,1,3,3,0,0,1,0,3,0,1,3,90,0,13,0,0,0,0,0,1,1,0
HOAG,6,22,17,32,75,91,26,73,5934,78,72,19,1,91,25,6,98,116,11,15,75,76,45,92,10,78,19,22,44,2,0,3,2,2,1,50,4,2,1,1,1,9,0,0,0,2,7,1,3,4,5,52,0,0,0,1063,4,14,0,0,2,0,0,1,53,0,0,1,52,2,0,8,158,348,1,337.5242881072,57,1,0,0,0,0,0,44,0,2,30,35,0,55,0,0,0,0,51,0,0,4,3,2
HSOU,0,4,8,0,0,30,1,1,42,9,12,5,0,0,0,1,2,3,2,1,0,88,5,3,0,6,1,0,34,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,10,0,0,0,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
